year,autocracy,democracy
1900,114,5
1901,115,5
1902,116,6
1903,120,6
1904,121,7
1905,120,7
1906,120,8
1907,120,8
1908,120,8
1909,120,8
1910,121,8
1911,123,8
1912,124,8
1913,124,8
1914,126,7
1915,128,7
1916,131,7
1917,131,7
1918,134,10
1919,134,12
1920,133,17
1921,127,21
1922,128,23
1923,126,25
1924,126,25
1925,126,25
1926,127,24
1927,128,23
1928,128,23
1929,128,23
1930,129,22
1931,129,22
1932,126,23
1933,129,20
1934,132,18
1935,133,18
1936,133,18
1937,134,17
1938,134,17
1939,132,17
1940,134,12
1941,135,12
1942,134,12
1943,135,11
1944,136,11
1945,137,12
1946,134,16
1947,132,20
1948,134,21
1949,133,23
1950,130,25
1951,131,25
1952,129,27
1953,129,27
1954,129,27
1955,128,28
1956,127,29
1957,127,29
1958,129,27
1959,128,28
1960,126,29
1961,127,29
1962,126,30
1963,124,32
1964,123,33
1965,123,33
1966,123,33
1967,122,34
1968,121,35
1969,121,35
1970,120,36
1971,122,36
1972,122,36
1973,123,35
1974,122,36
1975,121,37
1976,120,37
1977,120,37
1978,119,38
1979,118,39
1980,117,40
1981,117,40
1982,118,39
1983,117,40
1984,114,43
1985,113,44
1986,112,45
1987,113,44
1988,109,48
1989,110,48
1990,110,60
1991,106,67
1992,104,70
1993,101,74
1994,98,77
1995,95,80
1996,93,82
1997,92,83
1998,92,84
1999,89,88
2000,90,87
2001,89,88
2002,86,91
2003,84,93
2004,84,93
2005,84,93
2006,86,91
2007,89,89
2008,88,90
2009,87,91
2010,84,94
2011,85,94
2012,84,95
2013,88,91
2014,86,93
2015,85,94
2016,82,97
2017,82,97
2018,84,95
2019,89,90
2020,89,90
2021,90,89
