year,country_text_id,v2x_regime
2021,MEX,ele-dem
2021,SUR,ele-dem
2021,SWE,lib-dem
2021,CHE,lib-dem
2021,GHA,ele-dem
2021,ZAF,ele-dem
2021,JPN,lib-dem
2021,MMR,clo-aut
2021,RUS,ele-aut
2021,ALB,ele-aut
2021,EGY,ele-aut
2021,YEM,clo-aut
2021,COL,ele-dem
2021,POL,ele-dem
2021,BRA,ele-dem
2021,USA,lib-dem
2021,PRT,ele-dem
2021,SLV,ele-aut
2021,BGD,ele-aut
2021,BOL,ele-dem
2021,HTI,ele-aut
2021,HND,ele-aut
2021,MLI,clo-aut
2021,PAK,ele-aut
2021,PER,ele-dem
2021,SEN,ele-dem
2021,SSD,clo-aut
2021,SDN,clo-aut
2021,VNM,clo-aut
2021,AFG,clo-aut
2021,ARG,ele-dem
2021,ETH,ele-aut
2021,IND,ele-aut
2021,KEN,ele-aut
2021,PRK,clo-aut
2021,KOR,lib-dem
2021,XKX,ele-dem
2021,LBN,ele-aut
2021,NGA,ele-aut
2021,PHL,ele-aut
2021,TZA,ele-aut
2021,TWN,lib-dem
2021,THA,clo-aut
2021,UGA,ele-aut
2021,VEN,ele-aut
2021,BEN,ele-aut
2021,BTN,lib-dem
2021,BFA,ele-dem
2021,KHM,ele-aut
2021,IDN,ele-dem
2021,MOZ,ele-aut
2021,NPL,ele-dem
2021,NIC,ele-aut
2021,NER,ele-dem
2021,ZMB,ele-aut
2021,ZWE,ele-aut
2021,GIN,clo-aut
2021,CIV,ele-aut
2021,MRT,ele-aut
2021,CAN,lib-dem
2021,AUS,lib-dem
2021,BWA,lib-dem
2021,BDI,ele-aut
2021,CPV,ele-dem
2021,CAF,ele-aut
2021,CHL,lib-dem
2021,CRI,lib-dem
2021,TLS,ele-dem
2021,ECU,ele-dem
2021,FRA,lib-dem
2021,DEU,lib-dem
2021,GTM,ele-dem
2021,IRN,ele-aut
2021,IRQ,ele-aut
2021,IRL,lib-dem
2021,ITA,lib-dem
2021,JOR,clo-aut
2021,LVA,lib-dem
2021,LSO,ele-dem
2021,LBR,ele-dem
2021,MWI,ele-dem
2021,MDV,ele-dem
2021,MNG,ele-dem
2021,MAR,clo-aut
2021,NLD,lib-dem
2021,PAN,ele-dem
2021,PNG,ele-aut
2021,QAT,clo-aut
2021,SLE,ele-dem
2021,ESP,lib-dem
2021,SYR,clo-aut
2021,TUN,ele-aut
2021,TUR,ele-aut
2021,UKR,ele-dem
2021,GBR,lib-dem
2021,URY,lib-dem
2021,DZA,ele-aut
2021,AGO,ele-aut
2021,ARM,ele-dem
2021,AZE,ele-aut
2021,BLR,ele-aut
2021,CMR,ele-aut
2021,TCD,clo-aut
2021,CHN,clo-aut
2021,COD,ele-aut
2021,COG,ele-aut
2021,DJI,ele-aut
2021,DOM,ele-dem
2021,ERI,clo-aut
2021,GAB,ele-aut
2021,GMB,ele-aut
2021,GEO,ele-dem
2021,GNB,ele-dem
2021,JAM,ele-dem
2021,KAZ,ele-aut
2021,KGZ,ele-aut
2021,LAO,clo-aut
2021,LBY,clo-aut
2021,MDG,ele-aut
2021,MDA,ele-dem
2021,NAM,ele-dem
2021,PSE,ele-aut
2021,RWA,ele-aut
2021,SOM,clo-aut
2021,LKA,ele-dem
2021,SWZ,clo-aut
2021,TJK,ele-aut
2021,TGO,ele-aut
2021,TTO,ele-dem
2021,TKM,ele-aut
2021,PSG,clo-aut
2021,SML,ele-aut
2021,UZB,clo-aut
2021,AUT,ele-dem
2021,BHR,clo-aut
2021,BRB,lib-dem
2021,BEL,lib-dem
2021,BIH,ele-dem
2021,BGR,ele-dem
2021,COM,ele-aut
2021,HRV,ele-dem
2021,CUB,clo-aut
2021,CYP,lib-dem
2021,CZE,ele-dem
2021,DNK,lib-dem
2021,GNQ,ele-aut
2021,EST,lib-dem
2021,FJI,ele-aut
2021,FIN,lib-dem
2021,GRC,lib-dem
2021,GUY,ele-dem
2021,HKG,clo-aut
2021,ISL,lib-dem
2021,ISR,lib-dem
2021,KWT,clo-aut
2021,LTU,ele-dem
2021,LUX,lib-dem
2021,MKD,ele-dem
2021,MYS,ele-aut
2021,MLT,ele-dem
2021,MUS,ele-dem
2021,MNE,ele-aut
2021,NZL,lib-dem
2021,NOR,lib-dem
2021,OMN,clo-aut
2021,PRY,ele-dem
2021,ROU,ele-dem
2021,STP,ele-dem
2021,SAU,clo-aut
2021,SRB,ele-aut
2021,SYC,lib-dem
2021,SGP,ele-aut
2021,SVK,ele-dem
2021,SVN,ele-dem
2021,SLB,ele-dem
2021,VUT,ele-dem
2021,ARE,clo-aut
2021,HUN,ele-aut
2021,ZZB,ele-aut
