year,country_text_id,v2x_regime,v2x_libdem
2021,MEX,ele-dem,0.387
2021,SUR,ele-dem,0.648
2021,SWE,lib-dem,0.878
2021,CHE,lib-dem,0.836
2021,GHA,ele-dem,0.568
2021,ZAF,ele-dem,0.593
2021,JPN,lib-dem,0.736
2021,MMR,clo-aut,0.083
2021,RUS,ele-aut,0.102
2021,ALB,ele-aut,0.403
2021,EGY,ele-aut,0.123
2021,YEM,clo-aut,0.033
2021,COL,ele-dem,0.471
2021,POL,ele-dem,0.413
2021,BRA,ele-dem,0.512
2021,USA,lib-dem,0.735
2021,PRT,ele-dem,0.81
2021,SLV,ele-aut,0.215
2021,BGD,ele-aut,0.12
2021,BOL,ele-dem,0.369
2021,HTI,ele-aut,0.21
2021,HND,ele-aut,0.239
2021,MLI,clo-aut,0.183
2021,PAK,ele-aut,0.226
2021,PER,ele-dem,0.654
2021,SEN,ele-dem,0.552
2021,SSD,clo-aut,0.059
2021,SDN,clo-aut,0.082
2021,VNM,clo-aut,0.126
2021,AFG,clo-aut,0.021
2021,ARG,ele-dem,0.658
2021,ETH,ele-aut,0.151
2021,IND,ele-aut,0.357
2021,KEN,ele-aut,0.4
2021,PRK,clo-aut,0.015
2021,KOR,lib-dem,0.789
2021,XKX,ele-dem,0.421
2021,LBN,ele-aut,0.282
2021,NGA,ele-aut,0.34
2021,PHL,ele-aut,0.281
2021,TZA,ele-aut,0.314
2021,TWN,lib-dem,0.699
2021,THA,clo-aut,0.169
2021,UGA,ele-aut,0.212
2021,VEN,ele-aut,0.072
2021,BEN,ele-aut,0.28
2021,BTN,lib-dem,0.479
2021,BFA,ele-dem,0.476
2021,KHM,ele-aut,0.065
2021,IDN,ele-dem,0.428
2021,MOZ,ele-aut,0.241
2021,NPL,ele-dem,0.464
2021,NIC,ele-aut,0.055
2021,NER,ele-dem,0.397
2021,ZMB,ele-aut,0.296
2021,ZWE,ele-aut,0.189
2021,GIN,clo-aut,0.111
2021,CIV,ele-aut,0.241
2021,MRT,ele-aut,0.168
2021,CAN,lib-dem,0.755
2021,AUS,lib-dem,0.808
2021,BWA,lib-dem,0.486
2021,BDI,ele-aut,0.076
2021,CPV,ele-dem,0.648
2021,CAF,ele-aut,0.161
2021,CHL,lib-dem,0.77
2021,CRI,lib-dem,0.85
2021,TLS,ele-dem,0.487
2021,ECU,ele-dem,0.466
2021,FRA,lib-dem,0.795
2021,DEU,lib-dem,0.822
2021,GTM,ele-dem,0.324
